gridid,glat,glon,gpop,vmax_gust,vmax_sust,sust_duration
 5143,  36.0943, -94.1722, 203065,  0.00000,  0.00000,    0
 5145,  35.2437, -91.7674,  77076,  0.00000,  0.00000,    0
 5147,  35.2332, -91.2521,   7260,  0.00000,  0.00000,    0
 5149,  35.1210, -93.2895,  22185,  0.00000,  0.00000,    0
 9001,  41.2079, -73.3645, 916829,  0.00000,  0.00000,    0
 9003,  41.7619, -72.7173, 894014,  0.00000,  0.00000,    0
 9005,  41.7279, -73.1875, 189927,  0.00000,  0.00000,    0
 9007,  41.4786, -72.5714, 165676,  0.00000,  0.00000,    0
 9009,  41.3961, -72.9415, 862477,  0.00000,  0.00000,    0
 9011,  41.4434, -72.0977, 274055,  0.00000,  0.00000,    0
 9013,  41.8428, -72.3721, 152691,  0.00000,  0.00000,    0
 9015,  41.8042, -71.9951, 118428,  0.00000,  0.00000,    0
10001,  39.1232, -75.5586, 162310,  0.00000,  0.00000,    0
10003,  39.6850, -75.6344, 538479,  0.00000,  0.00000,    0
10005,  38.6624, -75.3466, 197145,  0.00000,  0.00000,    0
11001,  38.9103, -77.0145, 601723,  0.00000,  0.00000,    0
12001,  29.6659, -82.3868, 247336, 26.05950, 17.48960,  450
12003,  30.2884, -82.1855,  27115, 26.05950, 17.48960,  375
12005,  30.2069, -85.6602, 168852,  0.00000,  0.00000,    0
12007,  29.9534, -82.1282,  28520, 26.05950, 17.48960,  435
12009,  28.2322, -80.6910, 543376,  0.00000,  0.00000,    0
12011,  26.1341, -80.2271,1748066,  0.00000,  0.00000,    0
12013,  30.4631, -85.1222,  14625,  0.00000,  0.00000,    0
12015,  26.9548, -82.1199, 159978,  0.00000,  0.00000,    0
12017,  28.8636, -82.4535, 141236, 26.05950, 17.48960,  525
12019,  30.0844, -81.7994, 190865, 26.05950, 17.48960,  420
12021,  26.1998, -81.6996, 321520,  0.00000,  0.00000,    0
12023,  30.1261, -82.6606,  67531, 26.05950, 17.48960,  375
12027,  27.1894, -81.8641,  34862,  0.00000,  0.00000,    0
12029,  29.6342, -83.0563,  16422, 26.05950, 17.48960,  450
12031,  30.3003, -81.6229, 864263, 26.05950, 17.48960,  435
12033,  30.4853, -87.2748, 297619,  0.00000,  0.00000,    0
12035,  29.5235, -81.2247,  95696, 26.05950, 17.48960,  450
12037,  29.7868, -84.8228,  11549,  0.00000,  0.00000,    0
12039,  30.5983, -84.5814,  46389,  0.00000,  0.00000,    0
12041,  29.7046, -82.8083,  16939, 26.05950, 17.48960,  450
12043,  26.8960, -81.1854,  12884,  0.00000,  0.00000,    0
12045,  29.9886, -85.2595,  15863,  0.00000,  0.00000,    0
12047,  30.5015, -82.9972,  14799, 26.05950, 17.48960,  270
12049,  27.5483, -81.8154,  27731,  0.00000,  0.00000,    0
12051,  26.7054, -81.2026,  39140,  0.00000,  0.00000,    0
12053,  28.5049, -82.4969, 172778, 26.05950, 17.48960,  630
12055,  27.4604, -81.4426,  98786,  0.00000,  0.00000,    0
12057,  27.9765, -82.4013,1229226, 26.05950, 17.48960,  690
12059,  30.8477, -85.7585,  19927,  0.00000,  0.00000,    0
12061,  27.6718, -80.4406, 138028,  0.00000,  0.00000,    0
12063,  30.8002, -85.2161,  49746,  0.00000,  0.00000,    0
12065,  30.5040, -83.8863,  14761,  0.00000,  0.00000,    0
12067,  30.0654, -83.1795,   8870, 26.05950, 17.48960,  315
12069,  28.7357, -81.7520, 297052, 26.05950, 17.48960,  615
12071,  26.5750, -81.8582, 618754,  0.00000,  0.00000,    0
12073,  30.4661, -84.2704, 275487,  0.00000,  0.00000,    0
12075,  29.3800, -82.6663,  40801, 26.05950, 17.48960,  495
12077,  30.3998, -84.9052,   8365,  0.00000,  0.00000,    0
12079,  30.4726, -83.4306,  19224, 26.05950, 17.48960,  165
12081,  27.4771, -82.5328, 322833, 26.05950, 17.48960,  435
12083,  29.1401, -82.1234, 331298, 26.05950, 17.48960,  495
12085,  27.1443, -80.2444, 146318,  0.00000,  0.00000,    0
12086,  25.7746, -80.2989,2496435,  0.00000,  0.00000,    0
12087,  24.7397, -81.2639,  73090,  0.00000,  0.00000,    0
12089,  30.6080, -81.6472,  73314, 26.05950, 17.48960,  405
12091,  30.5428, -86.5671, 180822,  0.00000,  0.00000,    0
12093,  27.2721, -80.8221,  39996,  0.00000,  0.00000,    0
12095,  28.5329, -81.3844,1145956, 26.05950, 17.48960,  240
12097,  28.2668, -81.3835, 268685,  0.00000,  0.00000,    0
12099,  26.6171, -80.1461,1320134,  0.00000,  0.00000,    0
12101,  28.2616, -82.5161, 464697, 26.05950, 17.48960,  690
12103,  27.8998, -82.7277, 916542, 26.05950, 17.48960,  705
12105,  28.0311, -81.8000, 602095,  0.00000,  0.00000,    0
12107,  29.6093, -81.7204,  74364, 26.05950, 17.48960,  465
12109,  29.9771, -81.4215, 190039, 26.05950, 17.48960,  465
12111,  27.3381, -80.3532, 277789,  0.00000,  0.00000,    0
12113,  30.5496, -87.0370, 151372,  0.00000,  0.00000,    0
12115,  27.2082, -82.4239, 379448,  0.00000,  0.00000,    0
12117,  28.6978, -81.3105, 422718, 26.05950, 17.48960,  285
12119,  28.8258, -82.0355,  93420, 26.05950, 17.48960,  600
12121,  30.2147, -82.9875,  41551, 26.05950, 17.48960,  315
12123,  30.0649, -83.5980,  22570, 26.05950, 17.48960,  210
12125,  30.0108, -82.3569,  15535, 26.05950, 17.48960,  420
12127,  29.0737, -81.1240, 494593, 26.05950, 17.48960,  360
12129,  30.1855, -84.3315,  30776,  0.00000,  0.00000,    0
12131,  30.5837, -86.1907,  55043,  0.00000,  0.00000,    0
12133,  30.6507, -85.6254,  24896,  0.00000,  0.00000,    0
13001,  31.7739, -82.3385,  18236, 26.05950, 17.48960,  135
13003,  31.3173, -82.8864,   8375, 26.05950, 17.48960,  120
13005,  31.5472, -82.4661,  11096, 26.05950, 17.48960,  165
13007,  31.3078, -84.4380,   3451,  0.00000,  0.00000,    0
13009,  33.0849, -83.2457,  45720,  0.00000,  0.00000,    0
13011,  34.3513, -83.5067,  18395,  0.00000,  0.00000,    0
13013,  33.9931, -83.7275,  69367,  0.00000,  0.00000,    0
13015,  34.2084, -84.8291, 100157,  0.00000,  0.00000,    0
13017,  31.7276, -83.2486,  17634,  0.00000,  0.00000,    0
13019,  31.2386, -83.2524,  19286, 26.05950, 17.48960,   60
13021,  32.8321, -83.6872, 155547,  0.00000,  0.00000,    0
13023,  32.4014, -83.3322,  13063,  0.00000,  0.00000,    0
13025,  31.2166, -81.9700,  18411, 26.05950, 17.48960,  285
13027,  30.8421, -83.5401,  16243, 26.05950, 17.48960,   30
13029,  31.9795, -81.3759,  30233, 26.05950, 17.48960,  240
13031,  32.4177, -81.7624,  70217, 26.05950, 17.48960,   90
13033,  33.1020, -81.9984,  23316,  0.00000,  0.00000,    0
13035,  33.2961, -83.9700,  23655,  0.00000,  0.00000,    0
13037,  31.5274, -84.6685,   6694,  0.00000,  0.00000,    0
13039,  30.8142, -81.6351,  50513, 26.05950, 17.48960,  390
13043,  32.3999, -82.0623,  10998, 26.05950, 17.48960,   45
13045,  33.6222, -85.0447, 110527,  0.00000,  0.00000,    0
13047,  34.9278, -85.1728,  63942,  0.00000,  0.00000,    0
13049,  30.7800, -82.0230,  12171, 26.05950, 17.48960,  345
13051,  32.0360, -81.1265, 265128, 26.05950, 17.48960,  285
13053,  32.3442, -84.8993,  11267,  0.00000,  0.00000,    0
13055,  34.4955, -85.3442,  26015,  0.00000,  0.00000,    0
13057,  34.1696, -84.4966, 214346,  0.00000,  0.00000,    0
13059,  33.9504, -83.3809, 116714,  0.00000,  0.00000,    0
13061,  31.6335, -85.0134,   3183,  0.00000,  0.00000,    0
13063,  33.5534, -84.3622, 259424,  0.00000,  0.00000,    0
13065,  31.0179, -82.7409,   6798, 26.05950, 17.48960,  210
13067,  33.9433, -84.5579, 688078,  0.00000,  0.00000,    0
13069,  31.5160, -82.8407,  42356, 26.05950, 17.48960,   90
13071,  31.1810, -83.7687,  45498,  0.00000,  0.00000,    0
13073,  33.5162, -82.1656, 124053,  0.00000,  0.00000,    0
13075,  31.1498, -83.4245,  17212, 26.05950, 17.48960,   15
13077,  33.3791, -84.7364, 127317,  0.00000,  0.00000,    0
13079,  32.7077, -83.9340,  12630,  0.00000,  0.00000,    0
13081,  31.9480, -83.7778,  23439,  0.00000,  0.00000,    0
13083,  34.8827, -85.4970,  16633,  0.00000,  0.00000,    0
13085,  34.4014, -84.1041,  22330,  0.00000,  0.00000,    0
13087,  30.8883, -84.5704,  27842,  0.00000,  0.00000,    0
13089,  33.7898, -84.2480, 691893,  0.00000,  0.00000,    0
13091,  32.2128, -83.1756,  21796,  0.00000,  0.00000,    0
13093,  32.1676, -83.7842,  14918,  0.00000,  0.00000,    0
13095,  31.5734, -84.1676,  94565,  0.00000,  0.00000,    0
13097,  33.7249, -84.7346, 132403,  0.00000,  0.00000,    0
13099,  31.3317, -84.9167,  11008,  0.00000,  0.00000,    0
13101,  30.7086, -83.0580,   4034, 26.05950, 17.48960,  195
13103,  32.2917, -81.2995,  52250, 26.05950, 17.48960,  195
13105,  34.1265, -82.8795,  20166,  0.00000,  0.00000,    0
13107,  32.5859, -82.3080,  22598,  0.00000,  0.00000,    0
13109,  32.1696, -81.9073,  11000, 26.05950, 17.48960,  120
13111,  34.9014, -84.3134,  23682,  0.00000,  0.00000,    0
13113,  33.4279, -84.5124, 106567,  0.00000,  0.00000,    0
13115,  34.2558, -85.1832,  96317,  0.00000,  0.00000,    0
13117,  34.1949, -84.1443, 175511,  0.00000,  0.00000,    0
13119,  34.3773, -83.1861,  22084,  0.00000,  0.00000,    0
13121,  33.8361, -84.3936, 920581,  0.00000,  0.00000,    0
13123,  34.6772, -84.4836,  28292,  0.00000,  0.00000,    0
13125,  33.2359, -82.6099,   3082,  0.00000,  0.00000,    0
13127,  31.2027, -81.4865,  79626, 26.05950, 17.48960,  345
13129,  34.4983, -84.9088,  55186,  0.00000,  0.00000,    0
13131,  30.8828, -84.2143,  25011,  0.00000,  0.00000,    0
13133,  33.5499, -83.1661,  15994,  0.00000,  0.00000,    0
13135,  33.9520, -84.0580, 805321,  0.00000,  0.00000,    0
13137,  34.5652, -83.5416,  43041,  0.00000,  0.00000,    0
13139,  34.2752, -83.8447, 179684,  0.00000,  0.00000,    0
13141,  33.2558, -83.0020,   9429,  0.00000,  0.00000,    0
13143,  33.7619, -85.1855,  28780,  0.00000,  0.00000,    0
13145,  32.6999, -84.8950,  32024,  0.00000,  0.00000,    0
13147,  34.3554, -82.9650,  25213,  0.00000,  0.00000,    0
13149,  33.3093, -85.1134,  11834,  0.00000,  0.00000,    0
13151,  33.4758, -84.1754, 203922,  0.00000,  0.00000,    0
13153,  32.5716, -83.6634, 139900,  0.00000,  0.00000,    0
13155,  31.6046, -83.2808,   9538,  0.00000,  0.00000,    0
13157,  34.1321, -83.5848,  60485,  0.00000,  0.00000,    0
13159,  33.3563, -83.7243,  13900,  0.00000,  0.00000,    0
13161,  31.8488, -82.6007,  15068, 26.05950, 17.48960,   75
13163,  33.0636, -82.4077,  16930,  0.00000,  0.00000,    0
13165,  32.7946, -81.9501,   8340,  0.00000,  0.00000,    0
13167,  32.7012, -82.6795,   9980,  0.00000,  0.00000,    0
13169,  32.9621, -83.5451,  28669,  0.00000,  0.00000,    0
13171,  33.0800, -84.1544,  18317,  0.00000,  0.00000,    0
13173,  31.0354, -83.0909,  10078, 26.05950, 17.48960,  135
13175,  32.5165, -82.9261,  48434,  0.00000,  0.00000,    0
13177,  31.6812, -84.1734,  28298,  0.00000,  0.00000,    0
13179,  31.8278, -81.5785,  63453, 26.05950, 17.48960,  240
13181,  33.7811, -82.4464,   7996,  0.00000,  0.00000,    0
13183,  31.7788, -81.7337,  14464, 26.05950, 17.48960,  210
13185,  30.8570, -83.2802, 109233, 26.05950, 17.48960,  105
